0 17 0 22 16 18 20 39 0 52 0 19 24 0 23 21 25 33 26 65 35 0 0 0 58 0 0 59 61 62 54 0 38 30 44 0 36 0 37 27 51 0 60 63 0 0 0 0 0 0 0 0 0 0 0 0 
0 17 0 22 16 18 20 39 0 52 0 19 24 0 23 21 25 33 26 65 35 0 0 0 58 0 0 59 61 62 54 0 38 30 44 0 36 0 37 27 51 0 60 63 0 0 0 0 0 0 0 0 0 0 0 0 
16 0 0 0 17 20 22 18 25 0 0 0 24 62 23 0 45 0 0 0 21 0 19 39 0 0 57 0 60 55 0 0 35 30 0 0 26 36 43 0 48 0 63 59 47 64 0 50 0 40 31 0 38 0 0 0 
16 0 0 0 17 20 22 18 25 0 0 0 24 62 23 0 45 0 0 0 21 0 19 39 0 0 57 0 60 55 0 0 35 30 0 0 26 36 43 0 48 0 63 59 51 64 0 50 0 40 31 0 38 0 0 0 
16 0 0 0 17 20 22 18 25 0 0 0 24 62 23 0 45 0 0 0 21 0 19 39 0 0 57 0 60 55 0 0 35 30 0 0 26 36 43 0 48 0 63 59 51 64 0 50 0 40 31 0 38 0 0 0 
0 18 0 20 17 22 0 16 0 21 60 19 24 25 50 0 23 0 0 0 33 0 38 28 63 61 0 0 49 64 0 0 40 0 43 35 0 36 39 44 0 46 48 0 62 57 55 0 0 0 0 0 0 0 0 0 
0 18 0 20 17 22 0 16 0 21 60 19 24 25 50 0 23 0 0 0 33 0 38 28 63 61 0 0 49 64 0 0 40 0 43 35 0 36 39 44 0 46 48 0 62 57 55 0 0 0 0 0 0 0 0 0 
16 0 20 21 0 19 18 38 17 0 52 22 24 0 0 48 0 23 43 36 26 30 39 0 0 25 61 0 0 59 0 57 0 0 0 0 45 0 35 44 62 58 64 0 49 60 50 0 0 0 0 0 0 0 0 0 
16 0 20 21 0 19 18 38 17 0 52 22 24 0 0 48 0 23 43 36 26 30 39 0 0 25 61 0 0 59 0 57 0 0 0 0 45 0 37 44 62 58 64 0 51 60 50 0 0 0 0 0 0 0 0 0 
16 0 20 21 0 19 18 38 17 0 52 22 24 0 0 53 0 23 43 36 26 30 39 0 0 25 57 0 0 59 0 51 0 0 0 0 45 0 37 44 62 58 64 0 49 60 50 0 0 0 0 0 0 0 0 0 
16 0 20 21 0 19 18 38 17 0 52 22 24 0 0 48 0 23 43 36 26 30 39 0 0 25 57 0 0 59 0 51 0 0 0 0 45 0 37 44 62 58 64 0 49 60 50 0 0 0 0 0 0 0 0 0 
16 0 20 21 0 19 18 38 17 0 52 22 24 0 0 48 0 23 43 36 26 30 39 0 0 25 61 0 0 59 0 57 0 0 0 0 45 0 37 44 62 58 64 0 49 60 50 0 0 0 0 0 0 0 0 0 
16 0 0 18 20 19 38 17 22 24 21 25 23 0 51 0 37 42 0 30 41 0 26 0 0 0 57 58 55 0 0 62 0 45 0 39 34 28 0 44 0 54 49 0 60 0 63 0 0 0 0 0 0 0 0 0 
16 0 0 18 20 19 38 17 22 24 21 25 23 0 51 0 37 42 0 30 41 0 26 0 0 0 57 58 55 0 0 62 0 45 0 39 34 28 0 44 0 54 49 0 60 0 63 0 0 0 0 0 0 0 0 0 
